ID,InstallYear,Diameter,Length,Material,ExpBreak (Target),Age2018
20237,1969,8,246.94,3,1,49
20238,1969,8,315.28,3,1,49
4710,1967,8,51.69,6,1,51
5054,1967,8,648.86,6,1,51
5949,1967,6,24.8,3,1,51
13831,1967,2.25,616.5,3,1,51
16826,1967,6,335.68,3,1,51
19778,1967,12,382.18,3,1,51
13136,1967,12,970.23,6,1,51
13330,1967,4,299.27,3,1,51
34378,1967,16,364.2,3,1,51
22078,1967,6,264.84,3,1,51
37108,1967,6,422.39,3,1,51
39190,1967,8,288.86,3,1,51
3342,1966,8,784,6,1,52
5956,1965,8,419.56,3,1,53
8123,1965,6,395.4,3,1,53
19272,1965,6,949.16,3,1,53
23493,1965,6,18,3,1,53
23497,1965,6,18,3,1,53
37430,1965,8,18.84,3,1,53
35295,1965,6,633.06,3,1,53
35295,1965,6,633.06,3,1,53
21956,1965,6,498.86,3,1,53
6265,1964,6,409.87,3,1,54
19631,1964,4,477.81,3,1,54
18811,1963,4,360.32,0,1,55
18811,1963,4,360.32,0,1,55
18318,1962,8,741.39,3,1,56
18318,1962,8,741.39,3,1,56
18324,1962,8,1044.95,3,1,56
40239,1962,12,41.24,3,1,56
10003,1961,8,556.75,3,1,57
28712,1961,12,266.78,3,1,57
2083,1958,6,799.66,3,1,60
22679,1958,2.25,213.3,14,1,60
4505,1957,6,1119.44,3,1,61
8827,1957,12,22.14,3,1,61
17959,1956,6,3087.45,3,1,62
3900,1956,6,1266.44,3,1,62
3702,1956,6,750.68,0,1,62
4473,1956,6,19.3,3,1,62
6261,1956,6,67.66,3,1,62
7987,1956,36,1655.42,4,1,62
10281,1956,6,268.43,3,1,62
17663,1956,6,3299.3,0,1,62
19971,1956,6,333.97,3,1,62
24036,1956,6,29.82,3,1,62
22681,1956,2.25,142.72,14,1,62
19711,1956,6,299.58,3,1,62
32050,1956,6,249.98,3,1,62
41876,1956,6,33.6,3,1,62
3815,1955,4,333.45,0,1,63
19949,1955,4,192.71,3,1,63
17695,1955,6,1116.38,0,1,63
23491,1955,6,5.13,3,1,63
37615,1955,6,557.5,3,1,63
34597,1955,6,2484.05,0,1,63
43271,1955,4,1298.49,0,1,63
8313,1954,6,587.26,3,1,64
8313,1954,6,587.26,3,1,64
9950,1954,6,452.1,3,1,64
11309,1954,6,362.97,3,1,64
5130,1954,6,613.2,3,1,64
19933,1954,4,453.13,3,1,64
8858,1954,4,630.73,3,1,64
28984,1954,6,224.47,3,1,64
40009,1954,6,747.57,3,1,64
32265,1945,2.5,484.97,14,1,73
1472,1944,6,553.11,3,1,74
2989,1944,6,545.33,3,1,74
5160,1944,6,182.44,3,1,74
6855,1944,6,123.49,3,1,74
29169,1944,6,460.81,3,1,74
11396,1944,6,490.81,3,1,74
11528,1944,6,301.73,3,1,74
40943,1944,4,623.52,3,1,74
24025,1944,6,357.63,3,1,74
22815,1944,4,433.9,3,1,74
22815,1944,4,433.9,3,1,74
38247,1944,6,407.47,3,1,74
22878,1944,6,15.22,3,1,74
22879,1944,6,17.8,3,1,74
22882,1944,6,16.11,3,1,74
32063,1944,6,16.5,3,1,74
32075,1944,6,220.92,3,1,74
40119,1944,6,793.39,3,1,74
37985,1944,6,978.28,3,1,74
37999,1944,6,113.14,3,1,74
32395,1944,6,313.88,3,1,74
39206,1938,8,1602.53,3,1,80
32363,1935,6,19.34,3,1,83
17797,1930,6,433.83,3,1,88
2937,1930,8,311.22,3,1,88
6851,1930,8,371.55,3,1,88
6966,1930,6,247.8,3,1,88
6058,1930,6,349.1,3,1,88
6079,1930,8,273.61,3,1,88
6699,1930,12,143.24,3,1,88
24434,1930,6,45.58,3,1,88
28976,1930,6,548.25,3,1,88
20334,1930,8,954.22,3,1,88
19461,1930,8,448.15,3,1,88
22801,1930,6,578.61,3,1,88
37454,1930,6,288.3,3,1,88
37454,1930,6,288.3,3,1,88
22066,1930,6,174.25,3,1,88
32677,1930,4,327.58,3,1,88
28410,1930,6,527.49,3,1,88
37017,1930,8,293.09,3,1,88
32230,1930,8,284.17,3,1,88
32252,1930,6,778.28,3,1,88
3103,1927,24,364.43,3,1,91
31489,1927,24,317.56,3,1,91
2909,1923,6,306.71,3,1,95
2922,1923,16,349.46,3,1,95
3005,1923,8,272.16,3,1,95
5543,1923,12,268.29,3,1,95
5547,1923,8,300.62,3,1,95
11130,1923,6,471.4,3,1,95
11131,1923,16,411.51,3,1,95
11138,1923,4,289.68,3,1,95
11256,1923,6,503.87,3,1,95
6030,1923,6,35.05,3,1,95
26859,1923,4,365.14,3,1,95
26964,1923,6,276.97,3,1,95
29116,1923,6,245.86,3,1,95
26427,1923,6,26.06,3,1,95
24929,1923,8,280.56,3,1,95
24929,1923,8,280.56,3,1,95
6351,1923,6,617.25,3,1,95
26025,1923,8,646.53,3,1,95
26025,1923,8,646.53,3,1,95
26025,1923,8,646.53,3,1,95
10407,1923,6,304.85,3,1,95
11023,1923,16,370.75,3,1,95
11073,1923,16,433.4,3,1,95
11112,1923,6,454.13,3,1,95
26108,1923,6,461.29,3,1,95
31653,1923,6,319.52,3,1,95
24552,1923,4,493.55,3,1,95
25097,1923,8,300.66,3,1,95
26337,1923,6,760.51,3,1,95
28654,1923,6,536.89,3,1,95
29303,1923,6,242.4,3,1,95
29392,1923,6,42.78,3,1,95
29402,1923,6,339.41,3,1,95
29410,1923,6,323.19,3,1,95
29411,1923,16,371.02,3,1,95
36836,1923,8,376.83,3,1,95
18802,1923,16,661.45,3,1,95
25442,1923,6,14.33,3,1,95
28439,1923,6,309.89,3,1,95
38904,1923,4,599.81,3,1,95
38968,1923,8,309.44,3,1,95
38968,1923,8,309.44,3,1,95
38968,1923,8,309.44,3,1,95
37806,1923,6,719.25,3,1,95
37111,1923,6,509.79,3,1,95
34016,1923,6,376.92,3,1,95
31056,1923,6,305.64,3,1,95
38984,1923,6,253.31,3,1,95
31289,1923,6,445.46,3,1,95
31299,1923,6,230.74,3,1,95
36713,1923,6,253.96,3,1,95
25626,1915,12,49.92,3,1,103
35692,1997,2,171.36,12,1,21
28807,1995,2,326.95,6,1,23
28808,1995,2,412.61,6,1,23
13986,1986,4,1123.21,4,1,32
13986,1986,4,1123.21,4,1,32
18971,1985,2,364.18,12,1,33
11502,1971,6,285.96,6,1,47
1505,1967,6,14.75,3,1,51
34664,1967,2,425.5,3,1,51
40265,1967,2,76.98,6,1,51
18022,1963,4,704.23,0,1,55
9945,1956,2,263.9,14,1,62
10015,1956,4,286.88,3,1,62
19969,1956,6,17.37,3,1,62
22163,1956,2,263.48,14,1,62
39034,1956,2,202.02,14,1,62
3748,1955,2,496.73,14,1,63
3748,1955,2,496.73,14,1,63
21199,1955,2,503.45,8,1,63
31812,1955,2,229.12,14,1,63
38994,1955,2,98.83,3,1,63
19798,1954,4,660.45,3,1,64
19798,1954,4,660.45,3,1,64
39697,1954,2,189.98,3,1,64
2401,1945,2,205.35,14,1,73
22263,1945,2,740.23,14,1,73
6080,1945,2,148.63,14,1,73
21617,1945,2,656.56,14,1,73
17996,1945,2,423.85,14,1,73
25747,1945,2,192.95,14,1,73
25747,1945,2,192.95,14,1,73
34853,1945,4,1708.92,3,1,73
2990,1944,4,614.14,3,1,74
6885,1944,6,369.37,3,1,74
1887,1944,4,613.59,3,1,74
21613,1944,8,228.61,3,1,74
21613,1944,8,228.61,3,1,74
37548,1944,4,368.08,3,1,74
25290,1944,2,284.85,14,1,74
37840,1944,6,293.39,3,1,74
28714,1930,12,586.23,3,1,88
31558,1925,2,294.76,3,1,93
37030,1923,2,396.71,3,1,95
37030,1923,2,396.71,3,1,95
22796,1914,6,45.67,3,1,104
35889,2014,12,400.04,12,1,4
35741,2011,12,50.12,12,1,7
13110,2005,8,209.3,12,1,13
23443,2004,4,242.16,12,1,14
13417,2002,12,470.12,12,1,16
39429,1999,8,5.11,12,1,19
39429,1999,8,5.11,12,1,19
34987,1999,8,266.72,12,1,19
1902,1996,12,397.65,12,1,22
2780,1995,6,106.91,6,1,23
4583,1995,8,372.33,12,1,23
24980,1995,6,28.65,12,1,23
42756,1995,6,75.89,6,1,23
12467,1994,8,379.61,12,1,24
15086,1994,12,689.27,12,1,24
16722,1993,8,350.41,12,1,25
13036,1993,8,703.97,12,1,25
37249,1993,8,500.06,12,1,25
2303,1992,4,369.12,4,1,26
10432,1992,8,597.98,12,1,26
18014,1992,8,446.44,12,1,26
34524,1992,4,573.55,12,1,26
23568,1992,12,21.51,12,1,26
15488,1991,12,1407.22,6,1,27
20819,1991,12,1275.07,6,1,27
10278,1990,6,45.16,6,1,28
23370,1990,8,463.83,12,1,28
17034,1989,8,418.28,12,1,29
40206,1989,12,46.74,12,1,29
39756,1989,12,532.55,12,1,29
3078,1987,12,185.66,6,1,31
22026,1987,12,781.93,6,1,31
22026,1987,12,781.93,6,1,31
23711,1986,12,167,6,1,32
34827,1986,8,248.83,6,1,32
17867,1985,8,258.23,12,1,33
3840,1985,8,445.55,6,1,33
10062,1985,8,751.7,6,1,33
12641,1985,4,265.73,6,1,33
26073,1985,8,365.7,12,1,33
35346,1985,6,350.98,6,1,33
38472,1985,4,168.41,6,1,33
12859,1984,8,477.66,12,1,34
9714,1978,8,584.38,6,1,40
5119,1977,8,694.04,6,1,41
13552,1977,6,821.68,6,1,41
1563,1975,8,7.23,6,1,43
1565,1975,8,9.18,6,1,43
14294,1974,12,379.46,6,1,44
14991,1974,8,1170.28,6,1,44
20228,1974,8,462.13,6,1,44
15200,1973,16,1526.22,6,1,45
39191,1973,8,566.13,6,1,45
39192,1973,8,631.23,6,1,45
3774,1972,8,344.41,6,1,46
3774,1972,8,344.41,6,1,46
16967,1972,12,1180.21,6,1,46
9215,1972,2.25,588.28,6,1,46
19356,1972,8,402.48,6,1,46
31935,1972,36,51.28,4,1,46
39380,1970,16,1029.19,3,1,48
5520,1970,8,556.89,3,1,48
40878,1970,12,675.75,6,1,48
40108,1970,16,550.98,3,1,48
40108,1970,16,550.98,3,1,48
24162,1969,16,701.57,3,1,49
4462,1967,6,363.63,3,1,51
22220,1967,6,630.61,3,1,51
19778,1967,12,382.18,3,1,51
8111,1967,6,318.1,3,1,51
16250,1967,6,378.71,3,1,51
16250,1967,6,378.71,3,1,51
25178,1967,8,319.1,3,1,51
22017,1967,6,269.03,3,1,51
41411,1967,16,425.19,3,1,51
8676,1966,6,242.48,3,1,52
8676,1966,6,242.48,3,1,52
2545,1965,6,587.3,3,1,53
17385,1965,12,104.49,6,1,53
1403,1964,12,1034.22,3,1,54
4846,1964,8,441.61,3,1,54
6281,1964,6,366.22,3,1,54
39000,1964,2.25,525.68,3,1,54
39000,1964,2.25,525.68,3,1,54
39046,1964,6,775.25,3,1,54
39089,1964,6,1200.6,3,1,54
9831,1963,6,383.9,3,1,55
6424,1963,2.25,757.95,3,1,55
6424,1963,2.25,757.95,3,1,55
6424,1963,2.25,757.95,3,1,55
6424,1963,2.25,757.95,3,1,55
20181,1963,6,855.89,3,1,55
20181,1963,6,855.89,3,1,55
39784,1963,6,773.06,3,1,55
5177,1962,6,284.98,3,1,56
12661,1962,4,310.24,3,1,56
12661,1962,4,310.24,3,1,56
39605,1962,8,630.53,3,1,56
34624,1960,6,1089.73,3,1,58
3959,1959,4,346.86,3,1,59
2083,1958,6,799.66,3,1,60
11903,1958,2.25,896.2,3,1,60
11903,1958,2.25,896.2,3,1,60
13535,1957,4,848.03,3,1,61
8654,1957,2.25,778.41,3,1,61
1409,1956,4,152.26,3,1,62
17956,1956,6,725.06,3,1,62
17959,1956,6,3087.45,3,1,62
17959,1956,6,3087.45,3,1,62
3900,1956,6,1266.44,3,1,62
9955,1956,6,570.18,3,1,62
1956,1956,12,1600.71,3,1,62
8513,1956,6,262.64,3,1,62
19950,1956,6,578.58,3,1,62
11475,1956,8,605.01,3,1,62
16213,1956,4,563.57,3,1,62
10301,1956,6,567.3,3,1,62
25507,1956,24,977.35,3,1,62
22417,1956,8,573.32,3,1,62
34392,1956,6,821.92,3,1,62
21874,1956,6,286.81,3,1,62
21939,1956,6,398.11,3,1,62
25102,1956,30,1191.08,3,1,62
20367,1956,6,318.5,3,1,62
22758,1956,6,118.55,3,1,62
22112,1956,6,680.3,3,1,62
22112,1956,6,680.3,3,1,62
31761,1956,8,891.84,3,1,62
38759,1956,6,84.64,3,1,62
38836,1956,6,1279.24,3,1,62
34612,1956,6,229.91,3,1,62
34692,1956,6,522.6,3,1,62
36993,1956,6,595.39,3,1,62
36993,1956,6,595.39,3,1,62
31998,1956,6,744.56,3,1,62
31998,1956,6,744.56,3,1,62
41562,1956,6,543.94,3,1,62
34799,1956,6,339.47,3,1,62
40711,1956,6,139.65,3,1,62
37302,1956,8,345.64,3,1,62
37951,1956,8,627.26,3,1,62
37951,1956,8,627.26,3,1,62
37984,1956,4,429.61,3,1,62
38539,1956,6,1091.96,3,1,62
42787,1956,6,425.16,3,1,62
8340,1955,6,129.82,3,1,63
2302,1955,4,466.65,0,1,63
2335,1955,6,892.87,0,1,63
8173,1955,6,332.88,3,1,63
17695,1955,6,1116.38,0,1,63
20019,1955,6,727.02,3,1,63
41415,1955,8,454.74,3,1,63
41415,1955,8,454.74,3,1,63
8439,1954,6,288.21,3,1,64
9950,1954,6,452.1,3,1,64
5247,1954,6,406.87,3,1,64
19937,1954,6,566.52,3,1,64
19937,1954,6,566.52,3,1,64
8858,1954,4,630.73,3,1,64
21720,1954,6,787.62,3,1,64
21720,1954,6,787.62,3,1,64
21720,1954,6,787.62,3,1,64
19972,1954,6,693.45,3,1,64
19972,1954,6,693.45,3,1,64
43172,1954,4,636.26,3,1,64
43172,1954,4,636.26,3,1,64
41045,1954,36,918.78,4,1,64
40676,1954,6,617.27,3,1,64
37386,1954,4,396.78,3,1,64
1467,1944,6,750.75,3,1,74
4838,1944,8,824.98,3,1,74
2898,1944,24,4491.57,3,1,74
5608,1944,4,568.33,3,1,74
6867,1944,6,217.35,3,1,74
20651,1944,6,470.69,3,1,74
20651,1944,6,470.69,3,1,74
11396,1944,6,490.81,3,1,74
11428,1944,4,1217.1,3,1,74
11428,1944,4,1217.1,3,1,74
21634,1944,8,653.65,3,1,74
21663,1944,4,326.59,3,1,74
21712,1944,6,1296.56,3,1,74
18139,1944,6,246.9,3,1,74
41753,1944,8,317.2,3,1,74
25212,1944,6,131.96,3,1,74
25235,1944,6,253.34,3,1,74
22815,1944,4,433.9,3,1,74
28717,1944,6,276.57,3,1,74
22095,1944,6,583.68,3,1,74
22095,1944,6,583.68,3,1,74
22114,1944,4,498.43,3,1,74
32606,1944,6,1279.58,3,1,74
36976,1944,6,347.44,3,1,74
28395,1944,6,634.94,3,1,74
37113,1944,6,397.33,3,1,74
32023,1944,4,554.69,3,1,74
32023,1944,4,554.69,3,1,74
32036,1944,6,684.13,3,1,74
32079,1944,6,172.11,3,1,74
32091,1944,4,541.57,3,1,74
32098,1944,6,603.1,3,1,74
41020,1944,8,316.89,3,1,74
41603,1944,6,586.67,3,1,74
32210,1944,6,318.37,3,1,74
32245,1944,6,894.58,3,1,74
32273,1944,4,1180.65,3,1,74
38071,1944,6,350.61,3,1,74
38073,1944,6,678.95,3,1,74
32385,1944,6,316.99,3,1,74
32401,1944,4,666.12,3,1,74
32401,1944,4,666.12,3,1,74
32401,1944,4,666.12,3,1,74
32425,1944,8,652.49,3,1,74
32500,1944,6,462.54,3,1,74
32502,1944,6,483.05,3,1,74
32526,1944,6,1162.92,3,1,74
3812,1935,4,32.29,3,1,83
22387,1935,12,44.22,3,1,83
22387,1935,12,44.22,3,1,83
6835,1930,6,417.72,3,1,88
6034,1930,6,417.3,3,1,88
6034,1930,6,417.3,3,1,88
6034,1930,6,417.3,3,1,88
6069,1930,8,319.48,3,1,88
6328,1930,8,469.86,3,1,88
10289,1930,6,241.61,3,1,88
21623,1930,12,321.38,3,1,88
6601,1930,6,453.37,3,1,88
6601,1930,6,453.37,3,1,88
19263,1930,8,393.73,3,1,88
19264,1930,8,747.15,3,1,88
19264,1930,8,747.15,3,1,88
21742,1930,6,331.91,3,1,88
