ID,InstallYear,Diameter,Material,Length,Age2018,ExpBreak (Target)
25817,1923,6,1,293.54,95,1
25885,1923,6,1,430.19,95,1
29298,1923,4,1,709.12,95,1
36836,1923,8,1,376.83,95,1
36847,1923,6,1,574.92,95,1
18802,1923,16,1,661.45,95,1
25334,1923,6,1,571.27,95,1
25334,1923,6,1,571.27,95,1
38968,1923,8,1,309.44,95,1
37771,1923,6,1,263.18,95,1
37110,1923,6,1,342.95,95,1
37902,1923,6,1,234.35,95,1
37215,1923,6,1,454.27,95,1
37215,1923,6,1,454.27,95,1
37215,1923,6,1,454.27,95,1
37286,1923,6,1,9.37,95,1
31244,1923,8,1,426.72,95,1
31450,1923,6,1,255.7,95,1
36580,1923,8,1,13.44,95,1
28515,1915,12,1,16.11,103,1
28574,1915,6,1,15.54,103,1
28576,1915,12,1,15.68,103,1
10649,1915,8,1,2.21,103,1
25620,1915,6,1,20.41,103,1
25620,1915,6,1,20.41,103,1
37029,1915,8,1,19.35,103,1
37029,1915,8,1,19.35,103,1
28808,1995,2,3,412.61,23,1
39181,1992,1,2,175.29,26,1
32719,1991,2,5,301.3,27,1
17079,1967,6,3,18,51,1
17080,1967,6,3,19.56,51,1
18856,1966,2,1,108.88,52,1
18856,1966,2,1,108.88,52,1
5227,1965,2,6,627.27,53,1
39033,1964,2,6,237.59,54,1
10001,1956,2.25,1,711.17,62,1
1845,1955,6,0,632.22,63,1
1845,1955,6,0,632.22,63,1
31727,1955,4,1,162.65,63,1
19779,1954,4,1,503.12,64,1
19798,1954,4,1,660.45,64,1
19798,1954,4,1,660.45,64,1
19798,1954,4,1,660.45,64,1
29029,1945,2,6,391.21,73,1
29029,1945,2,6,391.21,73,1
34417,1945,2,6,18,73,1
22735,1945,2,6,504.33,73,1
28612,1945,2,6,368.06,73,1
28612,1945,2,6,368.06,73,1
25745,1945,2,6,12.34,73,1
39031,1945,2,6,815.28,73,1
6041,1944,6,1,222.7,74,1
6049,1935,6,1,18.36,83,1
6054,1935,6,1,27.77,83,1
28690,1930,12,1,322.7,88,1
28389,1930,6,1,43.09,88,1
10658,1923,6,1,35.31,95,1
35982,2015,12,5,338.07,3,1
42167,2005,12,5,447.8,13,1
35158,2005,4,5,290.04,13,1
42163,2002,12,5,1045.1,16,1
1692,1995,12,5,831.39,23,1
15173,1995,8,5,366.89,23,1
9592,1995,12,5,416.45,23,1
20503,1994,12,5,660.52,24,1
20503,1994,12,5,660.52,24,1
34524,1992,4,5,573.55,26,1
39186,1992,6,3,411.2,26,1
17671,1991,12,5,1110.86,27,1
10299,1990,6,3,378.12,28,1
23662,1990,8,5,777.69,28,1
41225,1989,8,5,371.53,29,1
23712,1986,12,3,696.77,32,1
10009,1985,8,3,404.31,33,1
21152,1985,12,5,240.19,33,1
6263,1983,8,3,555.48,35,1
21121,1982,6,3,636.78,36,1
21780,1976,6,3,615.94,42,1
14513,1975,6,3,463.17,43,1
13959,1974,12,3,494.19,44,1
13340,1974,12,3,1116.61,44,1
12735,1974,12,3,1047.42,44,1
14483,1973,12,3,718.41,45,1
1454,1972,6,3,500.16,46,1
20286,1969,8,1,916.54,49,1
20286,1969,8,1,916.54,49,1
15403,1968,8,1,832.04,50,1
23479,1968,6,1,151.87,50,1
39008,1968,8,1,730.02,50,1
4022,1967,12,1,483.55,51,1
28563,1967,12,1,357.76,51,1
6386,1967,6,1,404.1,51,1
14977,1967,8,1,304.53,51,1
28740,1967,6,1,403.66,51,1
37011,1967,6,1,230.18,51,1
3388,1966,6,1,527.43,52,1
20130,1966,6,1,490.54,52,1
8123,1965,6,1,395.4,53,1
32769,1965,6,1,834.1,53,1
13950,1964,6,1,445.29,54,1
20158,1964,6,1,283.87,54,1
23516,1964,8,1,908.86,54,1
8673,1963,6,1,658.1,55,1
8673,1963,6,1,658.1,55,1
18314,1963,6,1,299.26,55,1
39283,1963,8,1,259.29,55,1
39659,1962,8,1,707.88,56,1
39675,1962,8,1,1713.59,56,1
12651,1961,4,1,954.9,57,1
12270,1960,4,1,480.49,58,1
34624,1960,6,1,1089.73,58,1
2986,1956,12,1,359.37,62,1
15291,1956,4,1,642.54,62,1
21070,1956,6,1,315.49,62,1
22638,1956,6,1,917.54,62,1
22060,1956,6,1,860.27,62,1
19707,1956,6,1,812.42,62,1
31701,1956,6,1,569.51,62,1
34692,1956,6,1,522.6,62,1
32008,1956,6,1,309.96,62,1
34797,1956,6,1,1284.4,62,1
37302,1956,8,1,345.64,62,1
37302,1956,8,1,345.64,62,1
1788,1955,6,0,603.48,63,1
17695,1955,6,0,1116.38,63,1
37114,1955,6,1,360.5,63,1
40149,1955,2.25,1,150.42,63,1
8313,1954,6,1,587.26,64,1
19934,1954,4,1,313.98,64,1
21720,1954,6,1,787.62,64,1
19972,1954,6,1,693.45,64,1
19972,1954,6,1,693.45,64,1
1797,1945,12,6,62,73,1
1509,1944,6,1,1176.57,74,1
9934,1944,6,1,717.5,74,1
13857,1944,6,1,302.02,74,1
21634,1944,8,1,653.65,74,1
25221,1944,6,1,517.23,74,1
28395,1944,6,1,634.94,74,1
38911,1944,6,1,355.35,74,1
40028,1944,6,1,649.03,74,1
38073,1944,6,1,678.95,74,1
38073,1944,6,1,678.95,74,1
39206,1938,8,1,1602.53,80,1
32150,1935,6,1,28.28,83,1
24356,1930,8,1,349.74,88,1
6724,1930,6,1,716.98,88,1
18125,1930,6,1,298.89,88,1
21744,1930,6,1,615.07,88,1
21873,1930,8,1,1186.74,88,1
28698,1930,6,1,293.89,88,1
28795,1930,12,1,312.81,88,1
22061,1930,6,1,322.97,88,1
37774,1930,6,1,558.99,88,1
32251,1930,6,1,447.56,88,1
2947,1923,12,1,428.88,95,1
3003,1923,10,1,645.49,95,1
3045,1923,12,1,338.04,95,1
3096,1923,6,1,590.48,95,1
3096,1923,6,1,590.48,95,1
5436,1923,6,1,305.56,95,1
11134,1923,6,1,67.29,95,1
11252,1923,6,1,418.17,95,1
11280,1923,6,1,433.01,95,1
6142,1923,8,1,233.06,95,1
24839,1923,6,1,313.08,95,1
24840,1923,6,1,14.76,95,1
24841,1923,6,1,398.21,95,1
24945,1923,6,1,13.05,95,1
31462,1923,6,1,238.31,95,1
31480,1923,6,1,431.45,95,1
6303,1923,8,1,653.16,95,1
6317,1923,6,1,281.31,95,1
6317,1923,6,1,281.31,95,1
26025,1923,8,1,646.53,95,1
11029,1923,6,1,422.38,95,1
26111,1923,6,1,753.43,95,1
6628,1923,8,1,582.86,95,1
24407,1923,6,1,274.74,95,1
24418,1923,6,1,52.95,95,1
24439,1923,6,1,142.12,95,1
28873,1923,6,1,359.48,95,1
25097,1923,8,1,300.66,95,1
26604,1923,6,1,26.51,95,1
26605,1923,6,1,14.76,95,1
26742,1923,6,1,468.51,95,1
26742,1923,6,1,468.51,95,1
26742,1923,6,1,468.51,95,1
24665,1923,12,1,793.89,95,1
25743,1923,8,1,14.92,95,1
25751,1923,6,1,14.54,95,1
25751,1923,6,1,14.54,95,1
25752,1923,8,1,20.69,95,1
25752,1923,8,1,20.69,95,1
25752,1923,8,1,20.69,95,1
25760,1923,8,1,28.93,95,1
25760,1923,8,1,28.93,95,1
25337,1923,6,1,242.76,95,1
25374,1923,6,1,259.54,95,1
37791,1923,12,1,253.26,95,1
37803,1923,6,1,463.53,95,1
36990,1923,8,1,183.78,95,1
37117,1923,8,1,275.23,95,1
31150,1923,4,1,15.55,95,1
37903,1923,6,1,514.18,95,1
31251,1923,16,1,450.43,95,1
36614,1923,6,1,314.27,95,1
36693,1923,8,1,331.95,95,1
2232,1915,8,1,10.56,103,1
6943,1915,6,1,245.11,103,1
17377,1997,12,5,430.12,21,1
28807,1995,2,3,326.95,23,1
5809,1992,2,5,221.39,26,1
13969,1974,2,3,656.28,44,1
37157,1967,6,1,14.27,51,1
18022,1963,4,0,704.23,55,1
20915,1956,1,6,107.41,62,1
22664,1956,2,6,245.8,62,1
1654,1955,4,0,1377.15,63,1
1896,1955,4,0,1017.82,63,1
17995,1955,4,0,785.01,63,1
21199,1955,2,4,503.45,63,1
19779,1954,4,1,503.12,64,1
19798,1954,4,1,660.45,64,1
19798,1954,4,1,660.45,64,1
19798,1954,4,1,660.45,64,1
19798,1954,4,1,660.45,64,1
28994,1954,2,6,395.99,64,1
2763,1945,2,6,11.32,73,1
29215,1945,2,6,360.72,73,1
11452,1945,2,6,283.44,73,1
22697,1945,2,6,539.73,73,1
35771,1945,2,6,230,73,1
38037,1945,2,6,18,73,1
6731,1944,6,1,22.13,74,1
37548,1944,4,1,368.08,74,1
25438,1944,6,1,293.21,74,1
41019,1935,8,1,12.42,83,1
28509,1923,6,1,8.15,95,1
28498,1923,6,1,33.81,95,1
37030,1923,2,1,396.71,95,1
5851,1914,6,1,18,104,1
41056,1914,6,1,586.94,104,1
32897,2018,4,5,518.7,0,1
30244,2017,8,5,574.15,1,1
29992,2016,4,5,75.68,2,1
35703,2013,12,5,447.73,5,1
40317,2011,8,5,316.93,7,1
35366,2008,8,5,15.56,10,1
10309,2006,6,5,338.62,12,1
13398,2004,8,5,304.08,14,1
12897,2000,4,5,160.29,18,1
31281,1996,6,3,202.27,22,1
10468,1995,20,6,54.29,23,1
9230,1995,8,5,329.69,23,1
34364,1995,8,5,432.76,23,1
42766,1995,8,3,38.65,23,1
17994,1994,8,5,862.32,24,1
37668,1993,12,3,100.27,25,1
37671,1993,12,3,26.05,25,1
37681,1993,8,3,18,25,1
15488,1991,12,3,1407.22,27,1
20819,1991,12,3,1275.07,27,1
9401,1989,8,5,378.06,29,1
15412,1987,8,5,210.63,31,1
1678,1987,12,5,851.02,31,1
23711,1986,12,3,167,32,1
26073,1985,8,5,365.7,33,1
35297,1984,4,3,337.44,34,1
35297,1984,4,3,337.44,34,1
35297,1984,4,3,337.44,34,1
3348,1981,4,3,180.85,37,1
3348,1981,4,3,180.85,37,1
20621,1981,6,3,667.12,37,1
43635,1980,8,5,325.81,38,1
15424,1979,8,3,652.19,39,1
15424,1979,8,3,652.19,39,1
5316,1977,8,3,470.07,41,1
23482,1977,2.25,3,286.71,41,1
21780,1976,6,3,615.94,42,1
21788,1976,6,3,621.93,42,1
39873,1976,8,3,376.11,42,1
16784,1974,12,3,135.38,44,1
14146,1974,12,3,1491.61,44,1
14146,1974,12,3,1491.61,44,1
17384,1974,12,3,892.77,44,1
14488,1973,12,3,893.98,45,1
39159,1973,8,3,811.88,45,1
5869,1972,6,3,364.47,46,1
4027,1971,12,3,431.54,47,1
1544,1970,8,1,705.15,48,1
23905,1970,8,1,407.55,48,1
34422,1970,12,1,645.75,48,1
19472,1970,6,1,730.93,48,1
40050,1970,12,3,81.12,48,1
9902,1967,12,0,442.55,51,1
5574,1967,8,1,512.15,51,1
8475,1967,6,1,295.44,51,1
12507,1967,6,1,106.94,51,1
25554,1967,8,1,129.16,51,1
20242,1967,6,3,347.53,51,1
20371,1967,6,1,1068.54,51,1
21954,1967,6,1,259.51,51,1
22035,1967,6,1,859.53,51,1
20409,1967,2.25,1,1036.15,51,1
38922,1967,6,1,406.96,51,1
41411,1967,16,1,425.19,51,1
32286,1967,4,1,643.33,51,1
4751,1966,6,1,342.71,52,1
20014,1965,6,1,592.21,53,1
20014,1965,6,1,592.21,53,1
20168,1965,6,1,237.99,53,1
20373,1965,6,1,602.69,53,1
38326,1965,8,3,35.77,53,1
39291,1965,6,1,857.24,53,1
1403,1964,12,1,1034.22,54,1
23514,1964,8,1,778.15,54,1
5849,1963,6,1,219.67,55,1
5849,1963,6,1,219.67,55,1
5871,1963,6,1,61.46,55,1
18314,1963,6,1,299.26,55,1
18314,1963,6,1,299.26,55,1
21077,1963,6,1,795.82,55,1
38793,1963,4,1,686.97,55,1
18318,1962,8,1,741.39,56,1
10003,1961,8,1,556.75,57,1
